date,data1,data2,data3
2020-05-24,0,56,25
2020-05-31,0,87,25
2020-06-07,0,80,25
2020-06-14,0,100,24
2020-06-21,0,88,24
2020-06-28,0,75,25
2020-07-05,0,65,25
2020-07-12,0,60,23
2020-07-19,0,56,24
2020-07-26,0,47,24
2020-08-02,0,46,23
2020-08-09,0,47,23
2020-08-16,0,43,26
2020-08-23,0,42,22
2020-08-30,0,44,22
2020-09-06,0,42,22
2020-09-13,0,40,22
2020-09-20,0,36,21
2020-09-27,0,36,19
2020-10-04,0,41,20
2020-10-11,0,39,19
2020-10-18,0,38,20
2020-10-25,0,41,21
2020-11-01,0,36,18
2020-11-08,0,39,22
2020-11-15,0,38,30
2020-11-22,0,37,25
2020-11-29,0,37,24
2020-12-06,0,38,24
2020-12-13,0,35,26
2020-12-20,0,41,25
2020-12-27,0,44,25
2021-01-03,0,42,21
2021-01-10,0,38,31
2021-01-17,0,38,26
2021-01-24,0,34,24
2021-01-31,0,59,23
2021-02-07,0,46,22
2021-02-14,0,40,22
2021-02-21,0,46,22
2021-02-28,0,42,21
2021-03-07,0,41,21
2021-03-14,0,37,21
2021-03-21,0,42,22
2021-03-28,0,39,24
2021-04-04,0,36,23
2021-04-11,0,37,23
2021-04-18,0,45,21
2021-04-25,0,38,21
2021-05-02,0,37,22
2021-05-09,0,40,22
2021-05-16,0,38,22
2021-05-23,0,40,22
2021-05-30,1,42,25
2021-06-06,0,36,23
2021-06-13,0,36,24
2021-06-20,0,38,24
2021-06-27,0,35,22
2021-07-04,0,35,21
2021-07-11,0,35,20
2021-07-18,0,39,20
2021-07-25,0,36,20
2021-08-01,0,37,27
2021-08-08,0,36,22
2021-08-15,0,34,21
2021-08-22,0,34,21
2021-08-29,0,33,20
2021-09-05,0,33,19
2021-09-12,0,34,20
2021-09-19,0,32,19
2021-09-26,0,35,19
2021-10-03,0,33,19
2021-10-10,0,36,21
2021-10-17,0,36,20
2021-10-24,0,38,21
2021-10-31,0,36,20
2021-11-07,0,35,21
2021-11-14,0,38,21
2021-11-21,0,39,21
2021-11-28,0,38,22
2021-12-05,0,34,25
2021-12-12,0,40,27
2021-12-19,0,38,23
2021-12-26,0,40,21
2022-01-02,0,35,20
2022-01-09,0,40,22
2022-01-16,0,35,19
2022-01-23,0,37,20
2022-01-30,0,45,22
2022-02-06,0,63,20
2022-02-13,0,42,20
2022-02-20,0,41,18
2022-02-27,0,35,19
2022-03-06,0,35,18
2022-03-13,0,38,17
2022-03-20,0,40,18
2022-03-27,0,44,18
2022-04-03,0,42,20
2022-04-10,0,39,20
2022-04-17,0,40,19
2022-04-24,0,42,20
2022-05-01,0,41,19
2022-05-08,0,41,20
2022-05-15,0,39,21
2022-05-22,0,38,19
2022-05-29,0,36,21
2022-06-05,0,36,21
2022-06-12,0,35,21
2022-06-19,0,36,20
2022-06-26,0,35,19
2022-07-03,0,34,19
2022-07-10,0,35,19
2022-07-17,0,35,18
2022-07-24,0,33,18
2022-07-31,0,35,19
2022-08-07,0,33,18
2022-08-14,0,33,19
2022-08-21,0,34,18
2022-08-28,0,33,17
2022-09-04,0,30,17
2022-09-11,0,35,16
2022-09-18,0,37,18
2022-09-25,0,37,17
2022-10-02,0,35,17
2022-10-09,0,35,18
2022-10-16,0,36,17
2022-10-23,0,39,17
2022-10-30,0,41,17
2022-11-06,0,38,17
2022-11-13,0,38,18
2022-11-20,0,36,18
2022-11-27,0,34,18
2022-12-04,0,33,18
2022-12-11,0,35,18
2022-12-18,0,37,20
2022-12-25,0,38,19
2023-01-01,0,37,17
2023-01-08,0,35,18
2023-01-15,0,36,17
2023-01-22,0,38,18
2023-01-29,0,41,19
2023-02-05,0,40,19
2023-02-12,0,39,19
2023-02-19,0,42,21
2023-02-26,0,38,19
2023-03-05,0,39,19
2023-03-12,0,38,19
2023-03-19,0,40,19
2023-03-26,0,34,20
2023-04-02,0,36,20
2023-04-09,0,37,20
2023-04-16,0,40,19
2023-04-23,0,40,19
2023-04-30,0,42,18
2023-05-07,0,44,19
2023-05-14,0,39,19
2023-05-21,0,40,19
2023-05-28,0,34,23
2023-06-04,0,36,21
2023-06-11,0,38,21
2023-06-18,0,37,20
2023-06-25,0,34,20
2023-07-02,0,34,19
2023-07-09,0,34,21
2023-07-16,0,37,21
2023-07-23,0,35,20
2023-07-30,0,37,21
2023-08-06,0,36,20
2023-08-13,0,37,22
2023-08-20,0,34,19
2023-08-27,0,36,18
2023-09-03,0,37,18
2023-09-10,0,37,20
2023-09-17,0,39,19
2023-09-24,0,37,19
2023-10-01,0,38,19
2023-10-08,0,37,20
2023-10-15,0,38,19
2023-10-22,0,41,19
2023-10-29,0,37,19
2023-11-05,0,39,20
2023-11-12,0,37,19
2023-11-19,0,40,23
2023-11-26,0,42,23
2023-12-03,0,43,22
2023-12-10,0,45,22
2023-12-17,0,42,23
2023-12-24,0,42,24
2023-12-31,0,42,22
2024-01-07,0,41,20
2024-01-14,0,41,21
2024-01-21,0,43,24
2024-01-28,0,51,23
2024-02-04,0,50,24
2024-02-11,0,45,23
2024-02-18,0,47,22
2024-02-25,0,47,23
2024-03-03,0,47,23
2024-03-10,0,47,24
2024-03-17,0,47,24
2024-03-24,0,45,26
2024-03-31,0,48,24
2024-04-07,0,44,24
2024-04-14,0,47,27
2024-04-21,0,45,24
2024-04-28,0,44,26
2024-05-05,0,44,25
2024-05-12,0,45,23
2024-05-19,0,48,23
2024-05-26,0,47,29
2024-06-02,0,48,26
2024-06-09,0,50,28
2024-06-16,0,50,25
2024-06-23,0,46,26
2024-06-30,0,44,25
2024-07-07,0,46,27
2024-07-14,0,40,25
2024-07-21,0,39,28
2024-07-28,0,46,24
2024-08-04,0,41,25
2024-08-11,0,44,28
2024-08-18,0,46,26
2024-08-25,0,43,25
2024-09-01,0,44,24
2024-09-08,0,47,24
2024-09-15,0,47,24
2024-09-22,0,47,24
2024-09-29,0,48,26
2024-10-06,0,48,29
2024-10-13,0,52,24
2024-10-20,0,50,26
2024-10-27,0,52,28
2024-11-03,0,50,28
2024-11-10,0,55,27
2024-11-17,0,51,28
2024-11-24,0,57,27
2024-12-01,0,56,28
2024-12-08,0,54,29
2024-12-15,0,55,28
2024-12-22,0,58,34
2024-12-29,0,52,29
2025-01-05,0,50,29
2025-01-12,0,54,26
2025-01-19,0,56,30
2025-01-26,0,55,29
2025-02-02,0,57,28
2025-02-09,0,60,28
2025-02-16,0,55,27
2025-02-23,0,56,27
2025-03-02,0,58,27
2025-03-09,0,55,25
2025-03-16,0,62,27
2025-03-23,0,63,27
2025-03-30,0,62,29
2025-04-06,0,59,26
2025-04-13,0,55,27
2025-04-20,0,55,32
2025-04-27,0,61,25
2025-05-04,0,64,26
2025-05-11,0,64,25
2025-05-18,0,59,26
2025-05-25,0,83,39
